Date,Ticker,Open,High,Low,Returns
05/08/2012,IGUSA10D,,,,1.877368
05/09/2012,IGUSA10D,,,,1.874114
05/10/2012,IGUSA10D,,,,1.893969
05/11/2012,IGUSA10D,,,,1.841104
05/14/2012,IGUSA10D,,,,1.78534
05/15/2012,IGUSA10D,,,,1.771616
05/16/2012,IGUSA10D,,,,1.781472
05/17/2012,IGUSA10D,,,,1.73298
05/18/2012,IGUSA10D,,,,1.74762
05/21/2012,IGUSA10D,,,,1.7801
05/22/2012,IGUSA10D,,,,1.827232
05/23/2012,IGUSA10D,,,,1.772558
05/24/2012,IGUSA10D,,,,1.816374
05/25/2012,IGUSA10D,,,,1.8011
05/29/2012,IGUSA10D,,,,1.77828
05/30/2012,IGUSA10D,,,,1.678574
05/31/2012,IGUSA10D,,,,1.642629
06/01/2012,IGUSA10D,,,,1.529388
06/04/2012,IGUSA10D,,,,1.590435
06/05/2012,IGUSA10D,,,,1.628875
06/06/2012,IGUSA10D,,,,1.705982
06/07/2012,IGUSA10D,,,,1.705484
06/08/2012,IGUSA10D,,,,1.69323
06/11/2012,IGUSA10D,,,,1.65056
06/12/2012,IGUSA10D,,,,1.712752
06/13/2012,IGUSA10D,,,,1.657978
06/14/2012,IGUSA10D,,,,1.67772
06/15/2012,IGUSA10D,,,,1.63456
06/18/2012,IGUSA10D,,,,1.627683
06/19/2012,IGUSA10D,,,,1.669192
06/20/2012,IGUSA10D,,,,1.6797
06/21/2012,IGUSA10D,,,,1.677107
06/22/2012,IGUSA10D,,,,1.730898
06/25/2012,IGUSA10D,,,,1.676618
06/26/2012,IGUSA10D,,,,1.700006
06/27/2012,IGUSA10D,,,,1.69059
06/28/2012,IGUSA10D,,,,1.65376
06/29/2012,IGUSA10D,,,,1.697555
07/02/2012,IGUSA10D,,,,1.636726
07/03/2012,IGUSA10D,,,,1.669965
07/05/2012,IGUSA10D,,,,1.642356
07/06/2012,IGUSA10D,,,,1.600144
07/09/2012,IGUSA10D,,,,1.55907
07/10/2012,IGUSA10D,,,,1.563966
07/11/2012,IGUSA10D,,,,1.57003
07/12/2012,IGUSA10D,,,,1.5279
07/13/2012,IGUSA10D,,,,1.541736
07/16/2012,IGUSA10D,,,,1.5219
07/17/2012,IGUSA10D,,,,1.547748
07/18/2012,IGUSA10D,,,,1.535352
07/19/2012,IGUSA10D,,,,1.550934
07/20/2012,IGUSA10D,,,,1.508327
